2036258600-1616237668446,52,18,21
2036258944-1617451843946,59,7,47
2036259056-1618016972887,111,9,55
2036259696-1615988975302,16,12,18
2036259850-1619608019160,24,4,33
2036259855-1618145300,29,2,10
2036259855-1621429545,10,0,3
2036260144-1617884099235,58,25,38
2036260219-1615634493156,97,15,57
2036260567-1604920590067,63,31,122
2036260647-1617799893574,46,14,23
2036261093-1617281680,50,2,18
2036261093-1617284406,33,2,22
2036261457-1601213673629,10,0,16
2036263594-1618579603,42,10,34
2036263594-1618752028,57,6,32
2036263594-1619012443,37,12,26
2036264723-1615985482436,108,31,29
2036264723-1616413220432,109,8,57
2036264760-1617706780,66,59,50
2036265481-1622553524831,65,13,92
2036265937-1616333106073,15,4,19
2036266029-1616759902646,68,2,18
2036266138-1615895983415,72,18,43
2036266484-1599656128173,33,4,20
2036266814-1617363349,111,6,29
2036267044-1599371901674,86,16,75
2036267639-1604923479,39,49,120
2036267963-1617370641023,22,4,17
2036268092-1615641920971,23,0,32
2036268092-1616331066732,17,5,15
2036268876-1616160632855,65,3,22
2036268876-1616590994352,40,3,32
2036269250-1618641608,156,23,43
2036270374-1618230263211,63,7,26
2036270553-1617706847,47,7,30
2036270553-1618490073,78,7,22
2036271351-1605785518,43,26,39
2036271351-1606568975,82,23,51
2036271351-1617105277,100,32,68
2036271848-1617364882607,105,7,55
2036272793-1592121618162,109,48,208
2036272793-1616227495569,89,4,37
2036274271-1617019262688,72,15,53
2036275395-1621948490603,19,6,16
2036275543-1616503876398,37,0,31
2036275620-1618487853028,184,25,78
2036277050-1624174854,124,34,41
2036277766-1591272332,40,46,71
2036277986-1616330425669,84,9,59
2036278202-1616507363,29,12,39
2036278809-1619699235980,63,20,57
2036278922-1605533300948,21,10,35
2036279337-1605097909385,102,5,22
2036279337-1618144416950,53,10,30
2036279472-1617621479800,35,76,9
2036280221-1619270326145,18,2,12
2036280646-1619354985954,29,5,2
2036280646-1620563480239,19,75,56
2036280747-1615984912575,51,12,42
2036280747-1616157876644,134,11,32
2036281263-1621759099589,23,13,20
2036281295-1617276572,38,28,96
2036281343-1617368785286,80,46,45
2036281520-1617793938865,34,3,39
2036281884-1618833008,40,13,57
2036282126-1615376128021,34,7,41
2036283009-1618057863,57,7,41
2036283060-1608980139383,73,12,67
2036283101-1615897913491,115,6,13
2036283256-1592138865452,73,13,88
2036283444-1620388829197,63,20,82
2036283448-1591783318938,19,11,23
2036284288-1602157010920,49,11,30
2036284288-1618148295,29,2,20
2036284288-1620826948,44,1,16
